meter_id,location,violation_description,fine_amount,counts,revenue,latitude,longitude,meter_type,policy_complexity,rate_type,park_limit
NH935A,4301 TUJUNGA AV,METER EXPIRED,63.0,379,23877.0,34.149502000000005,-118.379084,Single-Space,13,FLAT,1.0
WV308,1100 WESTWOOD BLVD,METER EXPIRED,63.0,379,23877.0,34.06026,-118.445021,Single-Space,41,TOD,0.25
WV308,1100 WESTWOOD BLVD,OUTSIDE LINES/METER,58.0,34,1972.0,34.06026,-118.445021,Single-Space,41,TOD,0.25
WV308,1122 WESTWOOD BLVD,METER EXPIRED,63.0,26,1638.0,34.06026,-118.445021,Single-Space,41,TOD,0.25
WV308,1118 WESTWOOD BLVD,METER EXPIRED,63.0,23,1449.0,34.06026,-118.445021,Single-Space,41,TOD,0.25
NH939,4301 TUJUNGA AV,METER EXPIRED,63.0,376,23688.0,34.149041,-118.379082,Single-Space,13,FLAT,1.0
NH934A,4301 TUJUNGA AV,METER EXPIRED,63.0,374,23562.0,34.149643,-118.379083,Single-Space,13,FLAT,1.0
NH953,4300 TUJUNGA AV,METER EXPIRED,63.0,373,23499.0,34.149149,-118.378886,Single-Space,13,FLAT,1.0
NH936A,4301 TUJUNGA AV,METER EXPIRED,63.0,373,23499.0,34.149232,-118.379083,Single-Space,13,FLAT,1.0
NH936A,4363 TUJUNGA AV,METER EXPIRED,63.0,17,1071.0,34.149232,-118.379083,Single-Space,13,FLAT,1.0
CB3822,801 SANTEE ST S,METER EXPIRED,63.0,370,23310.0,34.040251,-118.25319,Single-Space,13,TOD,2.0
CB3822,861 SANTEE ST S,METER EXPIRED,63.0,20,1260.0,34.040251,-118.25319,Single-Space,13,TOD,2.0
CB3822,801 SANTEE ST S,OUTSIDE LINES/METER,58.0,15,870.0,34.040251,-118.25319,Single-Space,13,TOD,2.0
CB3822,859 SANTEE ST S,METER EXPIRED,63.0,12,756.0,34.040251,-118.25319,Single-Space,13,TOD,2.0
L133,200 LARCHMONT BL N,METER EXPIRED,63.0,363,22869.0,34.075449,-118.32352,Single-Space,41,FLAT,0.25
L133,226 LARCHMONT BL N,METER EXPIRED,63.0,35,2205.0,34.075449,-118.32352,Single-Space,41,FLAT,0.25
L133,220 LARCHMONT BL N,METER EXPIRED,63.0,12,756.0,34.075449,-118.32352,Single-Space,41,FLAT,0.25
BR156,11600 SAN VICENTE BL,METER EXPIRED,63.0,363,22869.0,34.053764,-118.463297,Single-Space,25,FLAT,1.0
BR156,11640 SAN VICENTE BL,METER EXPIRED,63.0,14,882.0,34.053764,-118.463297,Single-Space,25,FLAT,1.0
BW101,11600 BARRINGTON CT S,METER EXPIRED,63.0,359,22617.0,34.064914,-118.469412,Single-Space,32,FLAT,1.0
BW101,11600 BARRINGTON CT W,METER EXPIRED,63.0,233,14679.0,34.064914,-118.469412,Single-Space,32,FLAT,1.0
BW101,11600 BARRINGTON CT S,OFF STR/OVERTIME/MTR,58.0,24,1392.0,34.064914,-118.469412,Single-Space,32,FLAT,1.0
BW101,11600 BARRINGTON CT,METER EXPIRED,63.0,16,1008.0,34.064914,-118.469412,Single-Space,32,FLAT,1.0
BW101,11636 BARRINGTON CT S,METER EXPIRED,63.0,16,1008.0,34.064914,-118.469412,Single-Space,32,FLAT,1.0
BW101,11638 BARRINGTON CT S,METER EXPIRED,63.0,13,819.0,34.064914,-118.469412,Single-Space,32,FLAT,1.0
NH959,4300 TUJUNGA AV,METER EXPIRED,63.0,358,22554.0,34.14972,-118.378887,Single-Space,13,FLAT,1.0
CB154,1400 HOPE ST S,METER EXPIRED,63.0,353,22239.0,34.037797,-118.26663899999998,Single-Space,13,FLAT,4.0
NH954,4300 TUJUNGA AV,METER EXPIRED,63.0,346,21798.0,34.149205,-118.378884,Single-Space,13,FLAT,1.0
V76,200 VENICE WAY,METER EXPIRED,63.0,342,21546.0,33.987233,-118.470977,Single-Space,11,FLAT,1.0
V76,100 VENICE WAY,METER EXPIRED,63.0,56,3528.0,33.987233,-118.470977,Single-Space,11,FLAT,1.0
NH938,4301 TUJUNGA AV,METER EXPIRED,63.0,338,21294.0,34.149095,-118.379081,Single-Space,13,FLAT,1.0
L136,200 LARCHMONT BL N,METER EXPIRED,63.0,337,21231.0,34.075544,-118.323522,Single-Space,41,FLAT,2.0
L136,230 LARCHMONT BL N,METER EXPIRED,63.0,27,1701.0,34.075544,-118.323522,Single-Space,41,FLAT,2.0
L136,226 LARCHMONT BL N,METER EXPIRED,63.0,26,1638.0,34.075544,-118.323522,Single-Space,41,FLAT,2.0
V209,1500 PARK ROW,METER EXPIRED,63.0,337,21231.0,33.988225,-118.4721,Single-Space,11,FLAT,1.0
V209,1500 PARK ROW,OUTSIDE LINES/METER,58.0,25,1450.0,33.988225,-118.4721,Single-Space,11,FLAT,1.0
NH933,4301 TUJUNGA AV,METER EXPIRED,63.0,334,21042.0,34.149777,-118.379084,Single-Space,13,FLAT,1.0
NH933,4383 TUJUNGA AV,METER EXPIRED,63.0,12,756.0,34.149777,-118.379084,Single-Space,13,FLAT,1.0
CB144,1400 HOPE ST S,METER EXPIRED,63.0,329,20727.0,34.03745,-118.266861,Single-Space,13,FLAT,4.0
NH951,4300 TUJUNGA AV,METER EXPIRED,63.0,328,20664.0,34.149021000000005,-118.378885,Single-Space,13,FLAT,1.0
V120,1301 MAIN ST,METER EXPIRED,63.0,327,20601.0,33.989678999999995,-118.472486,Single-Space,11,FLAT,1.0
V120,1309 MAIN ST,METER EXPIRED,63.0,76,4788.0,33.989678999999995,-118.472486,Single-Space,11,FLAT,1.0
V120,1311 MAIN ST,METER EXPIRED,63.0,31,1953.0,33.989678999999995,-118.472486,Single-Space,11,FLAT,1.0
ED595B,1001 CROCKER ST S,METER EXPIRED,63.0,326,20538.0,34.033853,-118.251154,Single-Space,13,TOD,2.0
ED595B,1015 CROCKER ST S,METER EXPIRED,63.0,26,1638.0,34.033853,-118.251154,Single-Space,13,TOD,2.0
ED595B,1121 CROCKER ST S,METER EXPIRED,63.0,25,1575.0,34.033853,-118.251154,Single-Space,13,TOD,2.0
ED595B,1123 CROCKER ST S,METER EXPIRED,63.0,11,693.0,34.033853,-118.251154,Single-Space,13,TOD,2.0
V207,1500 PARK ROW,METER EXPIRED,63.0,325,20475.0,33.988115,-118.472012,Single-Space,11,FLAT,1.0
V207,1500 PARK ROW,METER EXPIRED,63.0,325,20475.0,33.988115,-118.472012,Single-Space,11,FLAT,1.0
V207,1500 PARK ROW,OUTSIDE LINES/METER,58.0,40,2320.0,33.988115,-118.472012,Single-Space,11,FLAT,1.0
V207,1500 PARK ROW,OUTSIDE LINES/METER,58.0,40,2320.0,33.988115,-118.472012,Single-Space,11,FLAT,1.0
ER107,5001 CASPAR AV,METER EXPIRED,63.0,325,20475.0,34.138824,-118.213176,Single-Space,13,FLAT,1.0
ER107,5000 CASPAR AV,METER EXPIRED,63.0,68,4284.0,34.138824,-118.213176,Single-Space,13,FLAT,1.0
ER107,5001 CASPAR AV,OUTSIDE LINES/METER,58.0,30,1740.0,34.138824,-118.213176,Single-Space,13,FLAT,1.0
ER107,5081 N CASPAR AV,METER EXPIRED,63.0,14,882.0,34.138824,-118.213176,Single-Space,13,FLAT,1.0
ER107,5055 CASPAR AV N,METER EXPIRED,63.0,13,819.0,34.138824,-118.213176,Single-Space,13,FLAT,1.0
VN687,14301 DELANO ST,METER EXPIRED,63.0,321,20223.0,34.182742,-118.446079,Single-Space,13,FLAT,2.0
VN687,14345 DELANO ST,METER EXPIRED,63.0,109,6867.0,34.182742,-118.446079,Single-Space,13,FLAT,2.0
VN687,14341 DELANO ST,METER EXPIRED,63.0,29,1827.0,34.182742,-118.446079,Single-Space,13,FLAT,2.0
L119,200 LARCHMONT BL N,METER EXPIRED,63.0,321,20223.0,34.074719,-118.323517,Single-Space,41,FLAT,2.0
L119,158 LARCHMONT BL N,METER EXPIRED,63.0,61,3843.0,34.074719,-118.323517,Single-Space,41,FLAT,2.0
NH957,4300 TUJUNGA AV,METER EXPIRED,63.0,319,20097.0,34.149588,-118.378885,Single-Space,13,FLAT,1.0
CB155,1300 HOPE ST S,METER EXPIRED,63.0,318,20034.0,34.037833,-118.266615,Single-Space,13,TOD,4.0
CB155,1338 HOPE ST S,METER EXPIRED,63.0,17,1071.0,34.037833,-118.266615,Single-Space,13,TOD,4.0
V212,1500 PARK ROW,METER EXPIRED,63.0,317,19971.0,33.988399,-118.47224,Single-Space,11,FLAT,1.0
ER106,5001 CASPAR AV,METER EXPIRED,63.0,316,19908.0,34.138881,-118.21318,Single-Space,13,FLAT,1.0
ER106,5000 CASPAR AV,METER EXPIRED,63.0,55,3465.0,34.138881,-118.21318,Single-Space,13,FLAT,1.0
ER106,APX 5081 N CASPAR AV,METER EXPIRED,63.0,12,756.0,34.138881,-118.21318,Single-Space,13,FLAT,1.0
ER106,5081 N CASPAR AV,METER EXPIRED,63.0,12,756.0,34.138881,-118.21318,Single-Space,13,FLAT,1.0
ER106,5055 CASPAR AV N,METER EXPIRED,63.0,12,756.0,34.138881,-118.21318,Single-Space,13,FLAT,1.0
V210,1500 PARK ROW,METER EXPIRED,63.0,315,19845.0,33.988279,-118.472144,Single-Space,11,FLAT,1.0
NH958,4300 TUJUNGA AV,METER EXPIRED,63.0,313,19719.0,34.149646000000004,-118.378887,Single-Space,13,FLAT,1.0
WV309,1100 WESTWOOD BLVD,METER EXPIRED,63.0,312,19656.0,34.060302,-118.445056,Single-Space,41,TOD,0.25
WV309,1118 WESTWOOD BLVD,METER EXPIRED,63.0,37,2331.0,34.060302,-118.445056,Single-Space,41,TOD,0.25
WV309,1100 WESTWOOD BLVD,OUTSIDE LINES/METER,58.0,18,1044.0,34.060302,-118.445056,Single-Space,41,TOD,0.25
WV309,1122 WESTWOOD BLVD,METER EXPIRED,63.0,17,1071.0,34.060302,-118.445056,Single-Space,41,TOD,0.25
NH944A,11401 WOODBRIDGE ST,METER EXPIRED,63.0,311,19593.0,34.148615,-118.379314,Single-Space,13,FLAT,1.0
V171,101 MARKET ST,METER EXPIRED,63.0,310,19530.0,33.988462,-118.47256000000002,Single-Space,11,FLAT,1.0
V171,123 MARKET ST,METER EXPIRED,63.0,36,2268.0,33.988462,-118.47256000000002,Single-Space,11,FLAT,1.0
NH950,4300 TUJUNGA AV,METER EXPIRED,63.0,309,19467.0,34.148891,-118.378886,Single-Space,13,FLAT,1.0
ER108,5001 CASPAR AV,METER EXPIRED,63.0,308,19404.0,34.13875,-118.213172,Single-Space,13,FLAT,1.0
ER108,5000 CASPAR AV,METER EXPIRED,63.0,61,3843.0,34.13875,-118.213172,Single-Space,13,FLAT,1.0
ER108,5081 N CASPAR AV,METER EXPIRED,63.0,21,1323.0,34.13875,-118.213172,Single-Space,13,FLAT,1.0
ER108,APX 5081 N CASPAR AV,METER EXPIRED,63.0,14,882.0,34.13875,-118.213172,Single-Space,13,FLAT,1.0
ER108,5051 CASPAR AV N,METER EXPIRED,63.0,11,693.0,34.13875,-118.213172,Single-Space,13,FLAT,1.0
NH932,4301 TUJUNGA AV,METER EXPIRED,63.0,306,19278.0,34.150065000000005,-118.379083,Single-Space,13,FLAT,1.0
NH945,11401 WOODBRIDGE ST,METER EXPIRED,63.0,305,19215.0,34.148617,-118.379403,Single-Space,13,FLAT,1.0
NH948,11301 WOODBRIDGE ST,METER EXPIRED,63.0,304,19152.0,34.148616,-118.37873,Single-Space,13,FLAT,1.0
NH946,11401 WOODBRIDGE ST,METER EXPIRED,63.0,303,19089.0,34.148617,-118.37946399999998,Single-Space,13,FLAT,1.0
CB153,1400 HOPE ST S,METER EXPIRED,63.0,302,19026.0,34.037763,-118.266662,Single-Space,13,FLAT,4.0
NH932A,4301 TUJUNGA AV,METER EXPIRED,63.0,301,18963.0,34.150012,-118.379084,Single-Space,13,FLAT,1.0
NH950A,4300 TUJUNGA AV,METER EXPIRED,63.0,301,18963.0,34.148946,-118.378887,Single-Space,13,FLAT,1.0
NH959A,4300 TUJUNGA AV,METER EXPIRED,63.0,298,18774.0,34.149778000000005,-118.378885,Single-Space,13,FLAT,1.0
V206,1500 PARK ROW,METER EXPIRED,63.0,297,18711.0,33.988068,-118.471974,Single-Space,11,FLAT,1.0
BR157,11600 SAN VICENTE BL,METER EXPIRED,63.0,295,18585.0,34.053764,-118.46323,Single-Space,25,FLAT,1.0
BR157,11640 SAN VICENTE BL,METER EXPIRED,63.0,21,1323.0,34.053764,-118.46323,Single-Space,25,FLAT,1.0
NH1256,11000 WEDDINGTON ST,METER EXPIRED,63.0,291,18333.0,34.16695,-118.371021,Single-Space,13,FLAT,2.0
V172,101 MARKET ST,METER EXPIRED,63.0,291,18333.0,33.988598,-118.472317,Single-Space,11,FLAT,1.0
V172,123 MARKET ST,METER EXPIRED,63.0,40,2520.0,33.988598,-118.472317,Single-Space,11,FLAT,1.0
HO958,1700 WHITLEY AV,METER EXPIRED,63.0,288,18144.0,34.102969,-118.333266,Single-Space,41,TOD,2.0
HO958,1740 WHITLEY AV,METER EXPIRED,63.0,13,819.0,34.102969,-118.333266,Single-Space,41,TOD,2.0
V211,1500 PARK ROW,METER EXPIRED,63.0,287,18081.0,33.988332,-118.472186,Single-Space,11,FLAT,1.0
V211,1500 PARK ROW,OUTSIDE LINES/METER,58.0,20,1160.0,33.988332,-118.472186,Single-Space,11,FLAT,1.0
BR119,11700 SAN VICENTE BL,METER EXPIRED,63.0,287,18081.0,34.053038,-118.467779,Single-Space,25,FLAT,1.0
BR119,11758 SAN VICENTE BL,METER EXPIRED,63.0,66,4158.0,34.053038,-118.467779,Single-Space,25,FLAT,1.0
NH952,4300 TUJUNGA AV,METER EXPIRED,63.0,286,18018.0,34.149079,-118.378886,Single-Space,13,FLAT,1.0
ER121,5000 CASPAR AV,METER EXPIRED,63.0,285,17955.0,34.138809,-118.213032,Single-Space,13,FLAT,1.0
TZ493,18700 VENTURA BL,METER EXPIRED,63.0,284,17892.0,34.170631,-118.540894,Single-Space,38,FLAT,0.5
ER120,5000 CASPAR AV,METER EXPIRED,63.0,282,17766.0,34.138726,-118.21303,Single-Space,13,FLAT,1.0
ER120,5000 CASPAR AV,OUTSIDE LINES/METER,58.0,30,1740.0,34.138726,-118.21303,Single-Space,13,FLAT,1.0
ER120,5080 N CASPAR AV,METER EXPIRED,63.0,12,756.0,34.138726,-118.21303,Single-Space,13,FLAT,1.0
ER120,APX 5080 N CASPAR AV,METER EXPIRED,63.0,11,693.0,34.138726,-118.21303,Single-Space,13,FLAT,1.0
CB143,1400 HOPE ST S,METER EXPIRED,63.0,282,17766.0,34.037415,-118.266884,Single-Space,13,FLAT,4.0
VN686B,14301 DELANO ST,METER EXPIRED,63.0,281,17703.0,34.182743,-118.446046,Single-Space,13,FLAT,2.0
VN686B,14345 DELANO ST,METER EXPIRED,63.0,94,5922.0,34.182743,-118.446046,Single-Space,13,FLAT,2.0
VN686B,14341 DELANO ST,METER EXPIRED,63.0,22,1386.0,34.182743,-118.446046,Single-Space,13,FLAT,2.0
BR160,11600 SAN VICENTE BL,METER EXPIRED,63.0,281,17703.0,34.053746000000004,-118.462854,Single-Space,25,FLAT,1.0
BR160,11640 SAN VICENTE BL,METER EXPIRED,63.0,32,2016.0,34.053746000000004,-118.462854,Single-Space,25,FLAT,1.0
NH126,11101 MAGNOLIA BL,METER EXPIRED,63.0,280,17640.0,34.165017,-118.372744,Single-Space,13,FLAT,1.0
NH126,11101 MAGNOLIA BL,OUTSIDE LINES/METER,58.0,14,812.0,34.165017,-118.372744,Single-Space,13,FLAT,1.0
BR158,11600 SAN VICENTE BL,METER EXPIRED,63.0,280,17640.0,34.053756,-118.463008,Single-Space,25,FLAT,1.0
BR158,11640 SAN VICENTE BL,METER EXPIRED,63.0,33,2079.0,34.053756,-118.463008,Single-Space,25,FLAT,1.0
NH947,11301 WOODBRIDGE ST,METER EXPIRED,63.0,280,17640.0,34.148617,-118.378671,Single-Space,13,FLAT,1.0
NH949,4300 TUJUNGA AV,METER EXPIRED,63.0,280,17640.0,34.148762,-118.378885,Single-Space,13,FLAT,1.0
NH949,4332 TUJUNGA AV,METER EXPIRED,63.0,11,693.0,34.148762,-118.378885,Single-Space,13,FLAT,1.0
NH960A,4300 TUJUNGA AV,METER EXPIRED,63.0,279,17577.0,34.149907,-118.378885,Single-Space,13,FLAT,1.0
NH1288,11001 MCCORMICK ST,METER EXPIRED,63.0,279,17577.0,34.166003,-118.372216,Single-Space,13,FLAT,2.0
NH1288,11049 MCCORMICK ST,METER EXPIRED,63.0,21,1323.0,34.166003,-118.372216,Single-Space,13,FLAT,2.0
BR159,11600 SAN VICENTE BL,METER EXPIRED,63.0,277,17451.0,34.053752,-118.46294,Single-Space,25,FLAT,1.0
BR159,11640 SAN VICENTE BL,METER EXPIRED,63.0,26,1638.0,34.053752,-118.46294,Single-Space,25,FLAT,1.0
NH127,11101 MAGNOLIA BL,METER EXPIRED,63.0,276,17388.0,34.165018,-118.372835,Single-Space,13,FLAT,1.0
CB157,1300 HOPE ST S,METER EXPIRED,63.0,275,17325.0,34.038304,-118.266316,Single-Space,13,TOD,4.0
CB157,1338 HOPE ST S,METER EXPIRED,63.0,16,1008.0,34.038304,-118.266316,Single-Space,13,TOD,4.0
NH956,4300 TUJUNGA AV,METER EXPIRED,63.0,275,17325.0,34.149512,-118.378885,Single-Space,13,FLAT,1.0
BR5,11601 SAN VICENTE BL,METER EXPIRED,63.0,274,17262.0,34.054057,-118.463042,Single-Space,25,FLAT,1.0
BR5,11611 SAN VICENTE BL,METER EXPIRED,63.0,24,1512.0,34.054057,-118.463042,Single-Space,25,FLAT,1.0
L76,101 LARCHMONT BL N,METER EXPIRED,63.0,273,17199.0,34.073428,-118.323755,Single-Space,41,FLAT,2.0
L76,111 LARCHMONT BL N,METER EXPIRED,63.0,27,1701.0,34.073428,-118.323755,Single-Space,41,FLAT,2.0
L76,113 LARCHMONT BL N,METER EXPIRED,63.0,25,1575.0,34.073428,-118.323755,Single-Space,41,FLAT,2.0
V208,1500 PARK ROW,METER EXPIRED,63.0,273,17199.0,33.988177,-118.472061,Single-Space,11,FLAT,1.0
NH1289,11001 MCCORMICK ST,METER EXPIRED,63.0,270,17010.0,34.166003,-118.372278,Single-Space,13,FLAT,2.0
NH1289,11049 MCCORMICK ST,METER EXPIRED,63.0,23,1449.0,34.166003,-118.372278,Single-Space,13,FLAT,2.0
BR126,11701 GORHAM AV,METER EXPIRED,63.0,268,16884.0,34.052892,-118.467526,Single-Space,25,FLAT,1.0
V213,1500 PARK ROW,METER EXPIRED,63.0,267,16821.0,33.988446,-118.472277,Single-Space,11,FLAT,1.0
NH130,11101 MAGNOLIA BL,METER EXPIRED,63.0,265,16695.0,34.165023,-118.373202,Single-Space,13,FLAT,1.0
NH130,11101 MAGNOLIA BL,OUTSIDE LINES/METER,58.0,17,986.0,34.165023,-118.373202,Single-Space,13,FLAT,1.0
NH130,11121 MAGNOLIA BL,METER EXPIRED,63.0,14,882.0,34.165023,-118.373202,Single-Space,13,FLAT,1.0
L65,101 LARCHMONT BL N,METER EXPIRED,63.0,264,16632.0,34.073772,-118.323755,Single-Space,41,FLAT,2.0
L65,123 LARCHMONT BL N,METER EXPIRED,63.0,117,7371.0,34.073772,-118.323755,Single-Space,41,FLAT,2.0
L65,125 LARCHMONT BL N,METER EXPIRED,63.0,20,1260.0,34.073772,-118.323755,Single-Space,41,FLAT,2.0
GA22,3101 GLENDALE BL,METER EXPIRED,63.0,264,16632.0,34.117822,-118.26133,Single-Space,13,FLAT,0.25
GA22,3191 GLENDALE BL,METER EXPIRED,63.0,210,13230.0,34.117822,-118.26133,Single-Space,13,FLAT,0.25
GA22,3193 GLENDALE BL,METER EXPIRED,63.0,19,1197.0,34.117822,-118.26133,Single-Space,13,FLAT,0.25
GA22,3191 GLENDALE BL N,METER EXPIRED,63.0,13,819.0,34.117822,-118.26133,Single-Space,13,FLAT,0.25
GA22,3191 N GLENDALE BL,METER EXPIRED,63.0,12,756.0,34.117822,-118.26133,Single-Space,13,FLAT,0.25
ER119,5000 CASPAR AV,METER EXPIRED,63.0,264,16632.0,34.138677,-118.213028,Single-Space,13,FLAT,1.0
ER119,5080 N CASPAR AV,METER EXPIRED,63.0,11,693.0,34.138677,-118.213028,Single-Space,13,FLAT,1.0
NH1286,11001 MCCORMICK ST,METER EXPIRED,63.0,263,16569.0,34.166002,-118.372056,Single-Space,13,FLAT,2.0
NH1286,11049 MCCORMICK ST,METER EXPIRED,63.0,19,1197.0,34.166002,-118.372056,Single-Space,13,FLAT,2.0
SS435,1801 SAWTELLE BL,METER EXPIRED,63.0,262,16506.0,34.043563,-118.44598899999998,Single-Space,13,FLAT,0.5
SS435,1801 SAWTELLE BL,OUTSIDE LINES/METER,58.0,35,2030.0,34.043563,-118.44598899999998,Single-Space,13,FLAT,0.5
CB146,1400 HOPE ST S,METER EXPIRED,63.0,262,16506.0,34.037518,-118.266819,Single-Space,13,FLAT,4.0
BR151,11600 SAN VICENTE BL,METER EXPIRED,63.0,261,16443.0,34.053738,-118.464041,Single-Space,25,FLAT,0.25
BR151,11670 SAN VICENTE BL,METER EXPIRED,63.0,27,1701.0,34.053738,-118.464041,Single-Space,25,FLAT,0.25
BR151,11660 SAN VICENTE BL,METER EXPIRED,63.0,14,882.0,34.053738,-118.464041,Single-Space,25,FLAT,0.25
BR164,11600 SAN VICENTE BL,METER EXPIRED,63.0,260,16380.0,34.053715000000004,-118.462527,Single-Space,25,FLAT,1.0
BR164,11640 SAN VICENTE BL,METER EXPIRED,63.0,29,1827.0,34.053715000000004,-118.462527,Single-Space,25,FLAT,1.0
HO955A,1700 WHITLEY AV,METER EXPIRED,63.0,260,16380.0,34.102464000000005,-118.333266,Single-Space,41,TOD,2.0
HO955A,1720 WHITLEY AV,METER EXPIRED,63.0,23,1449.0,34.102464000000005,-118.333266,Single-Space,41,TOD,2.0
HO117,1600 SCHRADER BL,METER EXPIRED,63.0,260,16380.0,34.100842,-118.332409,Single-Space,41,TOD,2.0
HO117,1600 SCHRADER BL,OUTSIDE LINES/METER,58.0,28,1624.0,34.100842,-118.332409,Single-Space,41,TOD,2.0
HO117,1600 N SCHRADER BL,METER EXPIRED,63.0,15,945.0,34.100842,-118.332409,Single-Space,41,TOD,2.0
HO964,1701 WHITLEY AV,METER EXPIRED,63.0,259,16317.0,34.102829,-118.333409,Single-Space,41,TOD,2.0
HO964,1737 WHITLEY AV,METER EXPIRED,63.0,47,2961.0,34.102829,-118.333409,Single-Space,41,TOD,2.0
BR20,11601 SAN VICENTE BL,METER EXPIRED,63.0,259,16317.0,34.054053,-118.463869,Single-Space,25,FLAT,1.0
BR20,11645 SAN VICENTE BL,METER EXPIRED,63.0,28,1764.0,34.054053,-118.463869,Single-Space,25,FLAT,1.0
ER110,5001 CASPAR AV,METER EXPIRED,63.0,258,16254.0,34.138505,-118.213165,Single-Space,13,FLAT,1.0
ER110,5000 CASPAR AV,METER EXPIRED,63.0,60,3780.0,34.138505,-118.213165,Single-Space,13,FLAT,1.0
ER110,5065 N CASPAR AV,METER EXPIRED,63.0,13,819.0,34.138505,-118.213165,Single-Space,13,FLAT,1.0
ER110,5045 CASPAR AV N,METER EXPIRED,63.0,12,756.0,34.138505,-118.213165,Single-Space,13,FLAT,1.0
NH949A,4300 TUJUNGA AV,METER EXPIRED,63.0,257,16191.0,34.148814,-118.378885,Single-Space,13,FLAT,1.0
CB2190,733 SAN JULIAN ST S,METER EXPIRED,63.0,256,16128.0,34.040663,-118.248233,Single-Space,13,TOD,2.0
CB2190,701 SAN JULIAN ST S,METER EXPIRED,63.0,77,4851.0,34.040663,-118.248233,Single-Space,13,TOD,2.0
CB2190,723 SAN JULIAN ST S,METER EXPIRED,63.0,40,2520.0,34.040663,-118.248233,Single-Space,13,TOD,2.0
CB2190,755 SAN JULIAN ST S,METER EXPIRED,63.0,24,1512.0,34.040663,-118.248233,Single-Space,13,TOD,2.0
ER109,5001 CASPAR AV,METER EXPIRED,63.0,256,16128.0,34.138618,-118.213169,Single-Space,13,FLAT,1.0
ER109,5000 CASPAR AV,METER EXPIRED,63.0,54,3402.0,34.138618,-118.213169,Single-Space,13,FLAT,1.0
L81,101 LARCHMONT BL N,METER EXPIRED,63.0,256,16128.0,34.07327,-118.323754,Single-Space,41,FLAT,2.0
L81,105 LARCHMONT BL N,METER EXPIRED,63.0,15,945.0,34.07327,-118.323754,Single-Space,41,FLAT,2.0
NH131,11101 MAGNOLIA BL,METER EXPIRED,63.0,255,16065.0,34.165023,-118.373292,Single-Space,13,FLAT,1.0
BR3,11601 SAN VICENTE BL,METER EXPIRED,63.0,254,16002.0,34.054059,-118.462775,Single-Space,25,FLAT,1.0
BR3,11611 SAN VICENTE BL,METER EXPIRED,63.0,44,2772.0,34.054059,-118.462775,Single-Space,25,FLAT,1.0
L98,100 LARCHMONT BL N,METER EXPIRED,63.0,253,15939.0,34.073896000000005,-118.323514,Single-Space,41,FLAT,2.0
L98,126 LARCHMONT BL N,METER EXPIRED,63.0,63,3969.0,34.073896000000005,-118.323514,Single-Space,41,FLAT,2.0
L98,128 LARCHMONT BL N,METER EXPIRED,63.0,38,2394.0,34.073896000000005,-118.323514,Single-Space,41,FLAT,2.0
NH1284,11001 MCCORMICK ST,METER EXPIRED,63.0,251,15813.0,34.166002,-118.371904,Single-Space,13,FLAT,2.0
